,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,maceio,35.035,10.9081,18,72,20,3.6,TN,1619762120
316,hornostayivka,4.25,-54.3833,22.12,99,100,0.95,GF,1619762121
317,boditi,-0.9492,100.3543,30,70,20,3.09,ID,1619762060
318,krasnoselkup,47.674,-122.1215,14.44,57,100,0.45,US,1619762121
319,mandalgovi,58.0372,14.9782,3.89,75,0,3.09,SE,1619762122
320,plaridel,12.6497,0.4931,30.16,47,25,3.88,BF,1619762122
321,haines junction,59.5667,150.8,2.77,74,39,0.52,RU,1619762109
322,roros,57.186,14.04,4.44,60,100,4.63,SE,1619762123
323,chichli,-28.783,32.0377,20.11,87,100,6.11,ZA,1619762123
324,kerki,40.8021,-124.1637,10,89,100,0.87,US,1619762124
325,mouila,44.2911,-105.5022,13.33,54,20,2.57,US,1619762124
326,syava,65.5333,72.5167,1,80,99,5.02,RU,1619761971
327,kahului,-12.7336,45.2042,28,83,75,4.63,YT,1619762125
328,alice springs,34.8791,-76.9013,21.67,86,100,3.13,US,1619762126
329,rio grande,70.0167,135.6,-0.28,90,9,1.77,RU,1619762126
330,karauzyak,-3.6954,128.1814,32,58,40,3.09,ID,1619762127
331,sur,-23.65,-70.4,15,88,0,2.57,CL,1619761563
332,port blair,-8.145,159.5921,28.25,76,70,2.28,SB,1619762127
333,russell,38.5167,-28.7,14.12,65,100,3.04,PT,1619762128
334,bintulu,33.5959,56.9244,28.54,27,93,3,IR,1619762129
335,port hardy,-33.9,148.1667,22.07,35,0,0.25,AU,1619762129
336,sabla,25.5198,90.2201,37.33,19,10,3.28,IN,1619762130
337,san javier,-23.865,35.3833,20,100,75,2.44,MZ,1619762130
338,reefton,27.3167,103.7167,23.79,32,100,1.24,CN,1619762131
339,pauini,1.574,9.6134,25.04,83,100,2.28,GQ,1619762131
340,rocha,22.8909,-109.9124,20.56,52,0,3.9,MX,1619761944
341,santa maria,39.05,-27.9833,13.55,62,100,2.22,PT,1619762132
342,kalevala,63.2842,118.3319,5.07,59,95,3.31,RU,1619762133
343,barbastro,35.174,-2.9287,16,77,0,2.24,MA,1619762133
344,camana,50.5994,97.5228,10.33,73,100,1.39,RU,1619762134
345,vakhrushev,-24.7,44.75,28.63,44,0,4.73,MG,1619762134
346,olafsvik,21.3906,-158.1547,25,61,20,2.57,US,1619762134
347,jabinyanah,20,-3,29.35,26,88,1.87,ML,1619762135
348,grand-santi,30.3658,-88.5561,23.33,94,90,1.54,US,1619762098
349,padang,30.7,77.85,25.2,19,47,2.59,IN,1619762136
350,redmond,20.15,92.9,30.8,62,5,4.61,MM,1619762136
351,tranas,55.1001,-105.2842,0,47,36,2.57,CA,1619762136
352,gayeri,40.8,-96.667,12.22,57,1,2.74,US,1619762101
353,magadan,57.0531,-135.33,7,87,90,3.6,US,1619762137
354,varnamo,-38.5473,-58.7368,12.78,82,27,2.24,AR,1619762138
355,richards bay,66.7697,123.3711,0.74,99,99,2.53,RU,1619762138
356,eureka,-3.1374,142.3475,29.22,75,43,3.7,PG,1619762139
357,gillette,-45.5752,-72.0662,8.99,95,87,2.27,CL,1619762139
358,nadym,34.6391,-120.4579,11,87,13,2.06,US,1619761922
359,grand river south east,-7.3333,-75.0167,19.61,94,14,0.66,PE,1619762140
